FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE
4166,QC-2023-20231080404,QC, ,20231080404, ,47.2269,-74.8572,2023,6,4,2023-06-04,,2023-07-10 00:00:00,173.230692443,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4167,QC-2023-20231080407,QC, ,20231080407, ,48.7721,-70.5015,2023,6,4,2023-06-04,,2023-06-07 00:00:00,1.71325599101,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4168,QC-2023-20231080408,QC, ,20231080408, ,49.6003,-71.6019,2023,6,3,2023-06-03,,2023-07-12 00:00:00,644.065788011,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4170,QC-2023-20231080411,QC, ,20231080411, ,49.2767,-71.8114,2023,6,3,2023-06-03,,2023-06-21 00:00:00,341.910354564,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4171,QC-2023-20231080412,QC, ,20231080412, ,49.1678,-71.8371,2023,6,3,2023-06-03,,2023-06-21 00:00:00,236.870352594,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4174,QC-2023-20231080417,QC, ,20231080417, ,47.6478,-72.6409,2023,6,4,2023-06-04,,2023-06-06 00:00:00,1.30795374429,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4175,QC-2023-20231080421,QC, ,20231080421, ,48.6372,-74.0287,2023,6,4,2023-06-04,,2023-06-17 00:00:00,26.9031639969,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4176,QC-2023-20231080422,QC, ,20231080422, ,48.4611,-73.8234,2023,6,4,2023-06-04,,2023-06-21 00:00:00,273.364032194,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4177,QC-2023-20231080423,QC, ,20231080423, ,48.9383,-71.3341,2023,6,3,2023-06-03,,2023-06-08 00:00:00,2.83950665481,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4180,QC-2023-20231080426,QC, ,20231080426, ,48.937,-71.3449,2023,6,3,2023-06-03,,2023-06-06 00:00:00,1.12475691894,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4181,QC-2023-20231080428,QC, ,20231080428, ,46.3799,-76.9406,2023,6,3,2023-06-03,,2023-06-08 00:00:00,1.4265333216,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4182,QC-2023-20231080429,QC, ,20231080429, ,48.7546,-78.0679,2023,6,5,2023-06-05,,2023-06-08 00:00:00,3.21906705514,H,H, , ,Intensive, , , , ,2024-05-06 00:00:00
4184,QC-2023-20231080431,QC, ,20231080431, ,49.0792,-75.0029,2023,6,4,2023-06-04,,2023-07-03 00:00:00,78.1972550252,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4186,QC-2023-20231080436,QC, ,20231080436, ,49.3504,-73.364,2023,6,5,2023-06-05,,2023-06-12 00:00:00,14.6827271668,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4187,QC-2023-20231080439,QC, ,20231080439, ,49.5485,-70.8078,2023,6,4,2023-06-04,,2023-07-12 00:00:00,202.304263494,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4188,QC-2023-20231080440,QC, ,20231080440, ,48.4101,-77.9289,2023,6,6,2023-06-06,,2023-06-07 00:00:00,0.336115808839,H,H, , ,Intensive, , , , ,2024-05-06 00:00:00
4190,QC-2023-20231080442,QC, ,20231080442, ,48.8802,-74.3542,2023,6,6,2023-06-06,,2023-06-14 00:00:00,2.43568520448,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4191,QC-2023-20231080443,QC, ,20231080443, ,48.8997,-74.3517,2023,6,6,2023-06-06,,2023-06-17 00:00:00,27.8705810585,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4192,QC-2023-20231080444,QC, ,20231080444, ,49.2817,-73.2952,2023,6,6,2023-06-06,,2023-06-07 00:00:00,0.306448462177,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4193,QC-2023-20231080445,QC, ,20231080445, ,48.8587,-74.3607,2023,6,6,2023-06-06,,2023-06-15 00:00:00,3.83205931701,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4194,QC-2023-20231080448,QC, ,20231080448, ,48.5964,-78.987,2023,6,6,2023-06-06,,2023-06-08 00:00:00,0.242923312292,H,H, , ,Intensive, , , , ,2024-05-06 00:00:00
4195,QC-2023-20231080449,QC, ,20231080449, ,49.2594,-74.9865,2023,6,5,2023-06-05,,2023-08-12 00:00:00,6356.55223,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4196,QC-2023-20231080450,QC, ,20231080450, ,50.6516,-73.105,2023,6,6,2023-06-06,,2023-07-18 00:00:00,18866.4246463,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4197,QC-2023-20231080451,QC, ,20231080451, ,49.7678,-73.3866,2023,6,6,2023-06-06,,2023-07-19 00:00:00,769.420485207,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4198,QC-2023-20231080453,QC, ,20231080453, ,50.7173,-72.5551,2023,6,6,2023-06-06,,2023-07-14 00:00:00,13832.8619628,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4199,QC-2023-20231080454,QC, ,20231080454, ,50.3846,-72.1813,2023,6,6,2023-06-06,,2023-07-12 00:00:00,2417.81527988,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4200,QC-2023-20231080455,QC, ,20231080455, ,50.9055,-72.504,2023,6,6,2023-06-06,,2023-06-21 00:00:00,6.26280412511,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4201,QC-2023-20231080457,QC, ,20231080457, ,51.1353,-72.7739,2023,6,6,2023-06-06,,2023-07-29 00:00:00,5456.58296835,N,N, , ,Nordique, , , , ,2024-05-06 00:00:00
4202,QC-2023-20231080458,QC, ,20231080458, ,51.6531,-71.6949,2023,6,6,2023-06-06,,2023-07-15 00:00:00,326.639174849,N,N, , ,Nordique, , , , ,2024-05-06 00:00:00
4203,QC-2023-20231080459,QC, ,20231080459, ,51.5557,-71.4264,2023,6,6,2023-06-06,,2023-07-15 00:00:00,725.783362795,N,N, , ,Nordique, , , , ,2024-05-06 00:00:00
4204,QC-2023-20231080460,QC, ,20231080460, ,51.0945,-73.1646,2023,6,6,2023-06-06,,2023-07-15 00:00:00,9498.523378000002,N,N, , ,Nordique, , , , ,2024-05-06 00:00:00
4305,QC-2023-20231080303,QC, ,20231080303, ,49.4172,-71.2588,2023,6,1,2023-06-01,,2023-06-02 00:00:00,0.1,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4306,QC-2023-20231080304,QC, ,20231080304, ,48.6636,-76.2119,2023,6,1,2023-06-01,,2023-06-18 00:00:00,5456.3,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4307,QC-2023-20231080307,QC, ,20231080307, ,49.4641,-76.1086,2023,6,1,2023-06-01,,2023-07-15 00:00:00,0.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4308,QC-2023-20231080309,QC, ,20231080309, ,48.7808,-76.2869,2023,6,1,2023-06-01,,2023-06-07 00:00:00,1136.3,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4310,QC-2023-20231080311,QC, ,20231080311, ,48.8117,-76.2697,2023,6,1,2023-06-01,,2023-06-07 00:00:00,0.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4311,QC-2023-20231080312,QC, ,20231080312, ,49.0308,-76.5067,2023,6,1,2023-06-01,,2023-06-07 00:00:00,20391.8,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4312,QC-2023-20231080313,QC, ,20231080313, ,48.9903,-79.3867,2023,6,1,2023-06-01,,2023-06-03 00:00:00,0.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4313,QC-2023-20231080316,QC, ,20231080316, ,47.5818,-73.9173,2023,6,1,2023-06-01,,2023-06-07 00:00:00,0.1,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4314,QC-2023-20231080317,QC, ,20231080317, ,48.0468,-76.0389,2023,6,1,2023-06-01,,2023-06-02 00:00:00,0.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4315,QC-2023-20231080320,QC, ,20231080320, ,47.5289,-76.5756,2023,6,1,2023-06-01,,2023-06-12 00:00:00,0.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4316,QC-2023-20231080321,QC, ,20231080321, ,47.5329,-76.5875,2023,6,1,2023-06-01,,2023-06-11 00:00:00,0.3,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4317,QC-2023-20231080322,QC, ,20231080322, ,49.2814,-74.991,2023,6,1,2023-06-01,,2023-06-02 00:00:00,1.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4318,QC-2023-20231080324,QC, ,20231080324, ,49.7417,-74.2407,2023,6,1,2023-06-01,,2023-06-03 00:00:00,0.0,H,H, , ,Intensive, , , , ,2024-05-06 00:00:00
4319,QC-2023-20231080325,QC, ,20231080325, ,49.3714,-77.0443,2023,6,2,2023-06-02,,2023-06-16 00:00:00,0.4,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4320,QC-2023-20231080327,QC, ,20231080327, ,46.9526,-74.2696,2023,6,1,2023-06-01,,2023-06-02 00:00:00,0.1,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4322,QC-2023-20231080329,QC, ,20231080329, ,48.8513,-70.4747,2023,6,1,2023-06-01,,2023-06-18 00:00:00,0.1,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4323,QC-2023-20231080330,QC, ,20231080330, ,48.9153,-74.3456,2023,6,1,2023-06-01,,2023-06-03 00:00:00,0.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4325,QC-2023-20231080332,QC, ,20231080332, ,46.0481,-74.0222,2023,6,1,2023-06-01,,2023-06-04 00:00:00,1.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4327,QC-2023-20231080336,QC, ,20231080336, ,47.4626,-77.2503,2023,6,1,2023-06-01,,2023-06-11 00:00:00,0.1,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4328,QC-2023-20231080338,QC, ,20231080338, ,49.1721,-70.8312,2023,6,1,2023-06-01,,2023-06-21 00:00:00,0.1,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4330,QC-2023-20231080341,QC, ,20231080341, ,48.4898,-74.8355,2023,6,1,2023-06-01,,2023-06-02 00:00:00,0.1,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4331,QC-2023-20231080342,QC, ,20231080342, ,48.5963,-78.2057,2023,6,2,2023-06-02,,2023-06-02 00:00:00,0.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4333,QC-2023-20231080345,QC, ,20231080345, ,49.1011,-76.7122,2023,6,2,2023-06-02,,2023-06-03 00:00:00,10.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4334,QC-2023-20231080348,QC, ,20231080348, ,46.5994,-74.8408,2023,6,5,2023-06-05,,2023-06-05 00:00:00,0.0,H,H, , ,Intensive, , , , ,2024-05-06 00:00:00
4336,QC-2023-20231080354,QC, ,20231080354, ,47.5816,-70.2005,2023,6,1,2023-06-01,,2023-06-01 00:00:00,0.1,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4339,QC-2023-20231080366,QC, ,20231080366, ,46.0297,-74.6941,2023,6,2,2023-06-02,,2023-06-03 00:00:00,0.1,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4340,QC-2023-20231080367,QC, ,20231080367, ,50.6536,-74.1507,2023,6,2,2023-06-02,,2023-06-06 00:00:00,4678.6,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4341,QC-2023-20231080368,QC, ,20231080368, ,50.4835,-74.2785,2023,6,2,2023-06-02,,2023-06-06 00:00:00,24152.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4342,QC-2023-20231080369,QC, ,20231080369, ,49.1684,-75.6707,2023,6,2,2023-06-02,,2023-07-06 00:00:00,24917.1,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4343,QC-2023-20231080371,QC, ,20231080371, ,49.1511,-75.1669,2023,6,2,2023-06-02,,2023-06-13 00:00:00,21467.7,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4344,QC-2023-20231080376,QC, ,20231080376, ,48.9048,-75.8251,2023,6,2,2023-06-02,,2023-06-18 00:00:00,29790.2,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
4347,QC-2023-20231080383,QC, ,20231080383, ,49.3884,-71.9908,2023,6,2,2023-06-02,,2023-06-13 00:00:00,0.0,N,N, , ,Intensive, , , , ,2024-05-06 00:00:00
