timestamp,co2[ppm],heartbeat[undefined],humidity[%],temperature[°F]
2023-11-16T05:50:29-05:00,597.4,---,41.08,63.2
2023-11-16T06:30:29-05:00,616.7,---,40.05,64.1
2023-11-16T07:10:29-05:00,602.1,---,39.71,64.4
2023-11-16T07:50:29-05:00,631.3,---,41.68,64.9
2023-11-16T08:30:30-05:00,828.6,---,42.9,65.6
2023-11-16T09:10:30-05:00,784.7,---,40.81,65.2
2023-11-16T09:51:30-05:00,998.2,---,40.55,65.8
2023-11-16T10:31:30-05:00,755.5,---,38.72,69
2023-11-16T11:11:30-05:00,838.5,---,38.28,71.2
2023-11-16T11:51:30-05:00,930.3,---,36.37,74.6
2023-11-16T12:31:30-05:00,829,---,33.06,76.1
2023-11-16T13:11:31-05:00,849.8,---,34.79,75.5
2023-11-16T13:51:31-05:00,850.5,---,34.61,75.7
2023-11-16T14:31:31-05:00,879.3,---,35.55,75
2023-11-16T15:11:31-05:00,858,---,36.02,74.1
2023-11-16T15:51:31-05:00,816.7,---,37,72.5
2023-11-16T16:31:31-05:00,866.3,---,38.64,71.9
2023-11-16T17:12:31-05:00,907.1,---,39.86,70.5
2023-11-16T17:52:31-05:00,937.3,---,42.33,69
2023-11-16T18:32:31-05:00,1124.6,---,44.12,69
2023-11-16T19:12:31-05:00,1031.6,---,43.74,68.4
2023-11-16T19:52:32-05:00,863.7,---,43.1,67.7
2023-11-16T20:32:32-05:00,939.9,---,43.31,67.6
2023-11-16T21:12:32-05:00,932.3,---,43.91,67.2
2023-11-16T21:52:32-05:00,849,---,42.98,67.3
2023-11-16T22:32:32-05:00,825.8,---,43.11,66.5
2023-11-16T23:13:32-05:00,770.6,---,44,65.2
2023-11-16T23:53:32-05:00,934.3,---,44.65,65.5
2023-11-17T00:33:32-05:00,841.9,---,43.78,65
2023-11-17T01:14:33-05:00,784.8,---,43.34,64.6
2023-11-17T01:54:33-05:00,743.1,---,43.6,63.9
2023-11-17T02:34:33-05:00,694.8,---,43.8,63.3
2023-11-17T03:14:33-05:00,686.3,---,44.09,62.9
2023-11-17T03:54:33-05:00,664.3,---,43.71,62.6
2023-11-17T04:34:33-05:00,653.2,---,43.64,62.3
2023-11-17T05:14:33-05:00,624.3,---,44.89,63.1
2023-11-17T05:54:34-05:00,685.8,---,42,65.4
2023-11-17T06:34:34-05:00,677.6,---,42.38,65.5
2023-11-17T07:14:34-05:00,663.6,---,42.31,65.8
2023-11-17T07:54:34-05:00,677.9,---,42.28,65.8
2023-11-17T08:35:34-05:00,880.2,---,44.8,65.8
2023-11-17T09:15:34-05:00,815.5,---,42.19,66.6
2023-11-17T09:55:34-05:00,813.9,---,41.1,67.4
2023-11-17T10:35:34-05:00,772.3,---,39.85,67.9
2023-11-17T11:15:34-05:00,764.6,---,39.82,68.1
2023-11-17T11:55:35-05:00,752.2,---,40.23,67.6
2023-11-17T12:35:35-05:00,663.8,---,40.1,67.3
2023-11-17T13:15:35-05:00,723,---,40.57,67.4
2023-11-17T13:55:35-05:00,759.1,---,41.04,67.2
2023-11-17T14:35:35-05:00,750.2,---,42.24,66.9
2023-11-17T15:15:35-05:00,748.7,---,42.47,66.7
2023-11-17T15:55:35-05:00,642.8,---,43.2,68.5
2023-11-17T16:36:35-05:00,627.5,---,42.55,68.4
2023-11-17T17:16:36-05:00,714.4,---,44.1,68.4
2023-11-17T17:56:36-05:00,817.6,---,44.44,68.2
2023-11-17T18:36:36-05:00,1347,---,50.22,68
2023-11-17T19:16:36-05:00,1456.1,---,49.23,68.4
2023-11-17T19:56:36-05:00,1343.3,---,47.18,68.5
2023-11-17T20:36:36-05:00,1247.7,---,46.72,68.2
2023-11-17T21:16:36-05:00,1180.1,---,46.83,67.7
2023-11-17T21:56:37-05:00,1014.9,---,46.47,67.8
2023-11-17T22:36:37-05:00,1001.3,---,46.67,67.3
2023-11-17T23:16:37-05:00,968.1,---,46.23,66.9
2023-11-17T23:57:37-05:00,928.1,---,47.33,66.4
2023-11-18T00:37:37-05:00,890.7,---,48.19,66.1
2023-11-18T01:17:37-05:00,812.2,---,46.98,66
2023-11-18T01:57:37-05:00,722.3,---,46.86,65.6
2023-11-18T02:37:37-05:00,656,---,47.11,65
2023-11-18T03:17:37-05:00,608.8,---,46.16,64.7
2023-11-18T03:57:38-05:00,578.5,---,45.98,64.4
2023-11-18T04:37:38-05:00,562,---,45.64,64
2023-11-18T05:17:38-05:00,544.9,---,45.73,63.3
2023-11-18T05:57:38-05:00,651.9,---,45.97,63.3
2023-11-18T06:37:38-05:00,670.3,---,46.36,62.5
2023-11-18T07:18:38-05:00,671.3,---,46.51,62.1
2023-11-18T07:58:38-05:00,673.3,---,45.98,62.1
2023-11-18T08:38:38-05:00,719.3,---,46.3,64.7
2023-11-18T09:18:39-05:00,663.9,---,43.39,67.9
2023-11-18T09:58:39-05:00,611.8,---,41.55,68.5
2023-11-18T10:38:39-05:00,724.5,---,42.53,68.8
2023-11-18T11:18:39-05:00,680.4,---,42.38,68.6
2023-11-18T11:58:39-05:00,644.5,---,40.21,69.9
2023-11-18T12:38:39-05:00,622.6,---,38.12,71.8
2023-11-18T13:18:39-05:00,656.6,---,35.1,75.3
2023-11-18T13:58:39-05:00,736.2,---,35.56,75.4
2023-11-18T14:38:39-05:00,788.7,---,36.79,74.1
2023-11-18T15:19:40-05:00,817.6,---,37.57,73
2023-11-18T15:59:40-05:00,802.8,---,39.01,70.3
2023-11-18T16:44:40-05:00,865.4,---,41.11,69
2023-11-18T17:24:40-05:00,893.7,---,42.36,68.2
2023-11-18T18:03:40-05:00,771.4,---,42.62,67
2023-11-18T18:42:40-05:00,824.4,---,43.08,66.2
2023-11-18T19:22:40-05:00,717.8,---,42.88,66.1
2023-11-18T20:02:40-05:00,636.6,---,41.69,66.5
2023-11-18T20:42:41-05:00,752.1,---,42.86,65.8
2023-11-18T21:22:41-05:00,759,---,42.7,65.8
2023-11-18T22:02:41-05:00,1091.3,---,47.27,66.3
2023-11-18T22:43:41-05:00,976.8,---,47.55,65.7
2023-11-18T23:23:41-05:00,918.7,---,46.56,65.8
2023-11-19T00:03:41-05:00,858.8,---,46.06,64.9
2023-11-19T00:43:42-05:00,799.7,---,45.08,64.7
2023-11-19T01:23:42-05:00,671.7,---,43.71,64.3
2023-11-19T02:03:42-05:00,599.2,---,43.07,63.3
2023-11-19T02:43:42-05:00,555.9,---,43.16,62.7
2023-11-19T03:24:42-05:00,521.6,---,42.29,62.5
2023-11-19T04:04:43-05:00,497.6,---,42.34,61.6
2023-11-19T04:44:43-05:00,478.4,---,42.48,61.1
2023-11-19T05:24:43-05:00,468.1,---,42.2,60.8
2023-11-19T06:04:43-05:00,450.6,---,42.03,60.3
2023-11-19T06:45:44-05:00,459.1,---,42.61,60.8
2023-11-19T07:25:44-05:00,490.8,---,41.52,60.8
2023-11-19T08:05:44-05:00,481.9,---,39.87,61.8
2023-11-19T08:45:44-05:00,519.5,---,39.65,62.8
2023-11-19T09:25:45-05:00,513,---,40.62,63.7
2023-11-19T10:05:45-05:00,1426.2,---,47.38,66.7
2023-11-19T10:45:45-05:00,1288,---,43.47,68.7
2023-11-19T11:25:45-05:00,1003.1,---,39.79,69.7
2023-11-19T12:05:45-05:00,984.3,---,41.89,68.2
2023-11-19T12:45:45-05:00,943.8,---,42.66,67.9
2023-11-19T13:25:45-05:00,843.4,---,39.65,70.8
2023-11-19T14:06:46-05:00,796.8,---,39.83,70.6
2023-11-19T14:46:46-05:00,696,---,38.04,70.6
2023-11-19T15:26:46-05:00,591.8,---,39.79,68.6
2023-11-19T16:06:46-05:00,607.3,---,40.5,68.5
2023-11-19T16:46:46-05:00,691.8,---,42.58,66.6
2023-11-19T17:26:46-05:00,621.3,---,42.81,66.6
2023-11-19T18:06:46-05:00,683.7,---,42.74,66.6
2023-11-19T18:47:46-05:00,1536.8,---,45.61,68.5
2023-11-19T19:27:47-05:00,1693.5,---,45.81,69.9
2023-11-19T20:07:48-05:00,1531.3,---,45.41,68.8
2023-11-19T20:47:49-05:00,1191.8,---,43.38,68.2
2023-11-19T21:27:49-05:00,1008,---,42.96,67.2
