timestamp,co2[ppm],heartbeat[undefined],humidity[%],no2[ppb],particulate[undefined],pm10p0[ug/m^3],pm1p0[ug/m^3],pm2p5[ug/m^3],pressure[Pa],temperature[°F]
2023-03-31T11:48:56-04:00,543.6,---,27.08,102.41,---,1.2,0.6,1.2,98276.1,69.8
2023-03-31T11:56:07-04:00,547.7,---,27.04,108.27,---,1.5,0.5,1.3,98246.6,70.2
2023-03-31T12:02:12-04:00,550.8,---,26.96,100.07,---,1.2,0.5,0.6,98212.6,70.4
2023-03-31T12:10:23-04:00,554.8,---,27.14,115.97,---,1.3,0.4,0.9,98197.9,69.9
2023-03-31T12:18:34-04:00,553.3,---,27.26,125.47,---,1,0.5,1,---,69.8
2023-03-31T12:24:48-04:00,---,---,---,---,---,---,---,---,98205.3,---
2023-03-31T12:32:48-04:00,608.7,---,27.8,118.35,---,1.5,0.8,1.5,98195.4,70.4
2023-03-31T12:43:04-04:00,678,---,28.2,129.68,---,1.9,0.8,1.5,98145.8,70.1
2023-03-31T12:50:09-04:00,745.8,---,---,---,---,---,---,---,98114.9,---
2023-03-31T12:57:07-04:00,772.7,---,29.49,124.49,---,1.8,1,1.8,98114.4,70.2
2023-03-31T13:01:11-04:00,---,---,29.51,---,---,---,---,---,---,70.5
2023-03-31T13:06:19-04:00,811.2,---,---,---,---,---,---,---,98086.3,---
2023-03-31T13:12:31-04:00,---,---,29.11,---,---,---,---,---,---,70.5
2023-03-31T13:20:32-04:00,---,---,29.41,121.41,---,2,0.8,1.5,---,70.2
2023-03-31T13:29:47-04:00,---,---,29.68,107.05,---,1,0.4,0.8,---,70.2
2023-03-31T13:35:11-04:00,732.3,---,---,---,---,---,---,---,---,---
2023-03-31T13:42:14-04:00,720.9,---,29.66,91.4,---,1.4,0.5,0.8,98024.3,---
2023-03-31T13:50:25-04:00,---,---,29.84,---,---,---,---,---,---,---
2023-03-31T13:55:27-04:00,717.8,---,29.97,94.15,---,1.4,0.7,1.4,---,70.2
2023-03-31T14:02:37-04:00,709.3,---,30.24,85.93,---,0.6,0.3,0.5,---,70.2
2023-03-31T14:10:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-31T14:17:54-04:00,700.5,---,30.4,69.28,---,1,0.3,0.8,97898.2,70.3
2023-03-31T14:26:05-04:00,707.3,---,---,66.83,---,0.4,0.3,0.3,97887,---
2023-03-31T14:32:14-04:00,693.2,---,---,---,---,---,---,---,97870.7,---
2023-03-31T14:41:28-04:00,---,---,---,---,---,---,---,---,---,69.8
2023-03-31T14:52:07-04:00,578.5,---,30.66,34.73,---,1,0.4,1,97810.4,70
2023-03-31T14:58:17-04:00,564,---,30.58,35.34,---,1.3,0.5,1.1,97789.7,70
2023-03-31T15:06:25-04:00,---,---,30.76,---,---,---,---,---,---,---
2023-03-31T15:12:29-04:00,---,---,---,---,---,1.5,0.4,0.9,---,---
2023-03-31T15:20:36-04:00,525.3,---,---,---,---,---,---,---,97716.4,---
2023-03-31T15:27:42-04:00,516,---,30.78,21.32,---,1.4,0.7,1.2,---,70.1
2023-03-31T15:35:49-04:00,---,---,31.68,---,---,1.9,1.1,1.9,---,69.6
2023-03-31T15:45:44-04:00,501.6,---,32.45,4.11,---,2.3,1.2,2.1,97635,68.9
2023-03-31T15:54:54-04:00,500,---,33.21,1.16,---,2,1.2,2,97623.8,68.2
2023-03-31T16:00:56-04:00,498,---,33.74,3.18,---,1.5,1,1.5,97626.8,67.9
2023-03-31T16:12:31-04:00,492.4,---,34.44,-10.6,---,2.5,1.5,2.4,97586.6,67.4
2023-03-31T16:22:17-04:00,---,---,---,---,---,---,---,---,---,66.9
2023-03-31T16:30:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-31T16:40:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-31T16:46:46-04:00,---,---,---,-48.59,---,---,---,---,---,---
2023-03-31T16:54:52-04:00,480.5,---,36.97,-56.17,---,3.2,2.2,3.1,97553.5,66.2
2023-03-31T17:00:57-04:00,---,---,37.23,---,---,3.6,2.3,3.6,---,66.2
2023-03-31T17:08:02-04:00,---,---,37.43,---,---,3.8,2.5,3.5,---,66.1
2023-03-31T17:15:15-04:00,---,---,---,---,---,---,---,---,97553.9,---
2023-03-31T17:23:19-04:00,---,---,37.77,---,---,4,2.7,3.9,---,65.9
2023-03-31T17:28:42-04:00,465.4,---,---,---,---,---,---,---,97548.3,---
2023-03-31T17:36:28-04:00,---,---,---,---,---,---,---,---,---,65.7
2023-03-31T17:39:38-04:00,---,---,---,-10,---,---,---,---,---,---
2023-03-31T17:44:38-04:00,459.1,---,---,0.72,---,---,---,---,---,---
2023-03-31T17:48:39-04:00,461.5,---,38.54,10.75,---,4.2,2.5,3.8,97575.3,65.5
2023-03-31T17:55:51-04:00,---,---,---,---,---,---,---,---,97578.7,---
2023-03-31T18:02:53-04:00,458.3,---,38.82,45.03,---,4.5,2.5,4,97566.3,65.5
2023-03-31T18:12:02-04:00,455.5,---,---,58.89,---,---,---,---,---,---
2023-03-31T18:16:02-04:00,456.3,---,39.12,68.41,---,4.1,2.7,3.9,---,65.3
2023-03-31T18:25:33-04:00,453.8,---,39.25,90.92,---,4.6,3,4.3,97533.6,65.3
2023-03-31T18:33:44-04:00,452,---,---,109.55,---,5.2,3.5,4.8,97529.9,---
2023-03-31T18:42:01-04:00,---,---,---,---,---,---,---,---,97530.5,---
2023-03-31T18:49:36-04:00,---,---,---,---,---,---,---,---,97528.1,---
2023-03-31T18:58:43-04:00,450.4,---,39.99,135.58,---,5.2,3.5,4.7,97510.6,65
2023-03-31T19:03:47-04:00,---,---,40.25,133.44,---,5.3,3.3,4.5,---,64.9
2023-03-31T19:07:49-04:00,449.5,---,40.3,133.49,---,4.9,3,4.6,97507.3,64.9
2023-03-31T19:15:58-04:00,---,---,---,---,---,---,---,---,97488.3,---
2023-03-31T19:22:17-04:00,444.6,---,---,---,---,---,---,---,---,---
2023-03-31T19:27:15-04:00,444.2,---,---,---,---,---,---,---,---,---
2023-03-31T19:33:59-04:00,443.3,---,40.5,149.07,---,3.9,2.4,3.8,97479.8,64.9
2023-03-31T19:40:07-04:00,---,---,40.63,---,---,---,---,---,---,---
2023-03-31T19:47:14-04:00,---,---,---,---,---,---,---,---,97484.6,---
2023-03-31T19:54:21-04:00,---,---,41.05,141.49,---,5.6,3.3,4.9,---,64.7
2023-03-31T20:00:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-31T20:07:50-04:00,---,---,---,138.96,---,---,---,---,---,---
2023-03-31T20:10:44-04:00,---,---,---,---,---,---,---,---,97484.7,---
2023-03-31T20:18:52-04:00,---,---,---,---,---,---,---,---,97482.1,---
2023-03-31T20:28:13-04:00,---,---,---,---,---,---,---,---,---,64.4
2023-03-31T20:31:31-04:00,435.9,---,---,---,---,---,---,---,97507.4,---
2023-03-31T20:37:24-04:00,---,---,---,---,---,---,---,---,97512.5,---
2023-03-31T20:46:35-04:00,429.4,---,43.46,126.18,---,5.4,3.8,5.1,97516.4,64.2
2023-03-31T20:53:42-04:00,---,---,---,---,---,---,---,---,97515.5,---
2023-03-31T21:03:03-04:00,423.5,---,43.21,127.93,---,5,3.4,4.6,97497.6,64.3
2023-03-31T21:10:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-31T21:16:20-04:00,---,---,---,---,---,---,---,---,97494.2,---
2023-03-31T21:20:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-31T21:28:23-04:00,416.8,---,42.93,127.23,---,5.6,3.3,4.8,97483.3,64.2
2023-03-31T21:33:35-04:00,---,---,---,126.21,---,5.9,3.2,5.2,---,---
2023-03-31T21:40:15-04:00,---,---,42.94,---,---,6.2,4,5.8,---,64.3
2023-03-31T21:46:41-04:00,---,---,---,---,---,---,---,---,97430.3,---
2023-03-31T21:50:33-04:00,---,---,43.16,---,---,---,---,---,---,---
2023-03-31T21:56:33-04:00,---,---,43.23,---,---,6,3.3,5.3,---,64
2023-03-31T22:02:43-04:00,---,---,---,---,---,5.8,3.7,5.2,---,---
2023-03-31T22:06:42-04:00,---,---,43.47,117.86,---,5.1,3.2,4.7,---,63.8
2023-03-31T22:10:54-04:00,---,---,---,---,---,---,---,---,97370.2,---
2023-03-31T22:18:03-04:00,---,---,43.7,120.91,---,5.5,3.9,5.4,---,---
2023-03-31T22:23:08-04:00,---,---,---,119.99,---,6.3,4,6,---,---
2023-03-31T22:30:09-04:00,407.9,---,---,---,---,---,---,---,---,---
2023-03-31T22:38:07-04:00,406.1,---,43.37,120.9,---,6.4,3.7,5.8,---,63.7
2023-03-31T22:46:15-04:00,---,---,---,---,---,---,---,---,---,63.8
2023-03-31T22:50:18-04:00,405.5,---,43.5,123.56,---,6.7,4.3,5.8,97259.3,63.7
2023-03-31T22:57:27-04:00,---,---,43.67,124,---,6.4,4.3,5.9,---,63.7
2023-03-31T23:05:25-04:00,407.1,---,43.74,124.68,---,5.6,3.6,5.3,97260.2,63.8
2023-03-31T23:11:41-04:00,---,---,43.83,---,---,7.2,4.9,7.2,---,63.7
2023-03-31T23:20:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-31T23:28:50-04:00,403,---,44.01,119.31,---,6.3,4.2,6.2,97214.6,63.6
2023-03-31T23:37:59-04:00,400.4,---,44.08,125.42,---,6.5,4.7,6,97189.1,63.4
2023-03-31T23:45:08-04:00,400,---,---,---,---,---,---,---,97170.5,---
2023-03-31T23:52:32-04:00,400,---,44.26,120.14,---,6.3,4.3,5.8,97163.1,63.4
2023-04-01T00:00:16-04:00,---,---,---,---,---,---,---,---,---,63.4
2023-04-01T00:39:53-04:00,398.5,---,---,---,---,---,---,---,---,---
2023-04-01T01:13:24-04:00,398.6,---,44.46,125.39,---,6,4,6,96966.5,63.7
2023-04-01T01:54:33-04:00,---,---,---,---,---,---,---,---,96914.1,---
2023-04-01T02:32:59-04:00,395.9,---,---,122.29,---,5.4,3.3,4.8,96814.4,---
2023-04-01T03:09:37-04:00,396.8,---,44.62,126.69,---,4.7,2.9,4.1,96624.2,63.8
2023-04-01T03:47:20-04:00,396,---,---,---,---,---,---,---,---,---
2023-04-01T04:24:39-04:00,399,---,---,---,---,---,---,---,96320.2,---
2023-04-01T05:08:52-04:00,---,---,---,---,---,---,---,---,96204.2,---
2023-04-01T05:49:34-04:00,392.7,---,45.72,127.3,---,4.4,2.3,3.6,96202.3,63.4
2023-04-01T06:27:06-04:00,392.9,---,46.03,128.97,---,3.5,2,3,---,63.7
2023-04-01T07:00:38-04:00,390.3,---,---,---,---,---,---,---,---,---
2023-04-01T07:40:13-04:00,392.3,---,47.19,131.41,---,3.3,1.6,2.6,96171.3,63.7
2023-04-01T08:16:08-04:00,392.7,---,---,---,---,---,---,---,96033.9,---
2023-04-01T08:46:05-04:00,---,---,46.96,---,---,---,---,---,---,64.3
2023-04-01T09:21:37-04:00,391.1,---,46.99,125.21,---,2.5,1.5,2.5,---,64.5
2023-04-01T09:59:13-04:00,---,---,---,---,---,---,---,---,96094.5,---
2023-04-01T10:37:48-04:00,---,---,---,---,---,---,---,---,96100.6,---
2023-04-01T11:15:42-04:00,389.8,---,---,---,---,---,---,---,---,---
2023-04-01T11:55:46-04:00,390.3,---,45,129.78,---,1.8,0.8,1.7,---,65.7
2023-04-01T12:31:36-04:00,---,---,---,---,---,---,---,---,95947.8,---
2023-04-01T13:10:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-01T13:47:19-04:00,---,---,---,---,---,---,---,---,---,66.7
2023-04-01T14:23:48-04:00,---,---,42.3,123.21,---,0.7,0.4,0.7,---,67.2
2023-04-01T14:55:57-04:00,390.3,---,---,---,---,---,---,---,95521.8,---
2023-04-01T15:30:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-01T16:10:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-01T16:40:42-04:00,387.3,---,---,121.19,---,1.3,0.6,0.8,96103.3,---
2023-04-01T17:11:02-04:00,387,---,---,---,---,---,---,---,---,---
2023-04-01T17:41:24-04:00,---,---,46.05,---,---,0.9,0.3,0.9,---,65.1
2023-04-01T18:20:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-01T18:59:21-04:00,---,---,---,---,---,---,---,---,---,64.7
2023-04-01T19:36:20-04:00,388.2,---,46.59,129.28,---,1.1,0,0.7,96248.1,63.7
2023-04-01T20:16:19-04:00,385.7,---,46.48,130,---,0.4,0,0.2,96368.6,62.8
2023-04-01T20:45:50-04:00,388.6,---,45.64,119.71,---,0.1,0,0,96431,62.5
2023-04-01T21:20:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-01T21:51:19-04:00,387.1,---,---,---,---,---,---,---,96638.7,---
2023-04-01T22:24:21-04:00,---,---,43.88,---,---,---,---,---,---,---
2023-04-01T23:02:58-04:00,---,---,---,---,---,---,---,---,---,60.7
2023-04-01T23:31:52-04:00,384,---,40.3,105.97,---,0,0,0,96892.9,61.1
2023-04-02T00:06:26-04:00,---,---,40.59,97.96,---,1.3,1,1.3,---,60
2023-04-02T00:42:03-04:00,381.9,---,39.33,87.24,---,1.9,1.5,1.9,97169.2,60.5
2023-04-02T01:17:39-04:00,383.4,---,38.5,88.17,---,1.1,0.7,1,---,60.8
2023-04-02T02:00:59-04:00,381.9,---,---,---,---,---,---,---,---,---
2023-04-02T02:30:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-02T03:10:44-04:00,381,---,35.41,76.46,---,0.5,0,0.5,97601.5,60.1
2023-04-02T03:50:19-04:00,382.2,---,34.27,60.45,---,0.9,0.4,0.6,97698.1,60.2
2023-04-02T04:30:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-02T05:03:34-04:00,380.1,---,31.75,67.2,---,0.3,0,0.2,97853.1,59.8
2023-04-02T05:47:07-04:00,379.5,---,30.35,85.49,---,0.1,0,0.1,97987.6,---
2023-04-02T06:26:19-04:00,380.2,---,29.78,100.63,---,0.6,0,0.3,98090.8,58.5
2023-04-02T07:01:56-04:00,---,---,---,---,---,---,---,---,98184.9,---
2023-04-02T07:42:30-04:00,---,---,27.56,---,---,0.1,0,0.1,---,---
2023-04-02T08:20:49-04:00,387,---,27.31,190.86,---,0.5,0,0,98317.7,59.3
2023-04-02T09:00:26-04:00,---,---,26.99,---,---,---,---,---,---,59.1
2023-04-02T09:37:52-04:00,384.8,---,26.32,221.09,---,0,0,0,98396.6,59.9
2023-04-02T10:20:53-04:00,382.8,---,26.19,219.16,---,0,0,0,98436.3,59.8
2023-04-02T10:58:02-04:00,---,---,---,---,---,---,---,---,98476.2,---
2023-04-02T11:31:40-04:00,379.4,---,---,---,---,---,---,---,---,---
2023-04-02T12:08:34-04:00,380,---,25.39,216.82,---,0,0,0,98477.2,60.5
2023-04-02T12:46:11-04:00,378.2,---,---,---,---,---,---,---,98468.3,---
2023-04-02T13:26:05-04:00,---,---,24.95,---,---,0,0,0,---,61.4
2023-04-02T14:04:58-04:00,379,---,24.82,236.76,---,0.3,0,0.3,98458.3,61.9
2023-04-02T14:39:42-04:00,380.8,---,23.29,246.54,---,0,0,0,98440.5,65.2
2023-04-02T15:17:18-04:00,---,---,---,---,---,---,---,---,---,67.3
2023-04-02T15:53:28-04:00,384,---,23.87,257.66,---,0.5,0,0.2,98348.3,67
2023-04-02T16:33:39-04:00,382.3,---,23.6,236.94,---,0.9,0.5,0.8,98348.3,67.8
2023-04-02T17:13:29-04:00,---,---,---,---,---,---,---,---,98345.9,---
2023-04-02T17:44:50-04:00,---,---,---,---,---,---,---,---,98319.5,---
2023-04-02T18:20:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-02T18:55:38-04:00,---,---,---,---,---,---,---,---,98391.5,---
2023-04-02T19:37:23-04:00,---,---,30.25,---,---,0.7,0,0.4,---,---
2023-04-02T20:15:58-04:00,---,---,33.22,163.12,---,0.8,0.2,0.4,---,62.1
2023-04-02T20:50:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-02T21:24:02-04:00,390.3,---,---,---,---,---,---,---,98388.5,---
2023-04-02T22:06:09-04:00,392,---,29.39,110.98,---,0,0,0,98385.8,61.5
2023-04-02T22:38:45-04:00,392.1,---,---,107.25,---,---,---,---,98340.5,---
2023-04-02T23:18:47-04:00,389.8,---,---,141.08,---,0.5,0.1,0.5,98281,---
2023-04-02T23:51:13-04:00,---,---,28.11,157.22,---,0.1,0,0.1,---,60.7
2023-04-03T00:24:42-04:00,384.9,---,28.03,183.4,---,0.8,0,0.4,98190.6,60.9
2023-04-03T01:02:27-04:00,382,---,27.84,198.01,---,0.2,0,0.2,98201.4,61
2023-04-03T01:41:57-04:00,381.9,---,---,200.82,---,---,---,---,98134.6,---
2023-04-03T02:16:17-04:00,---,---,27.5,---,---,0.3,0,0.3,---,---
2023-04-03T02:46:27-04:00,---,---,---,---,---,---,---,---,98050.8,---
2023-04-03T03:30:49-04:00,382.9,---,27.83,203.11,---,0,0,0,97981.1,60.9
2023-04-03T04:10:09-04:00,383.8,---,---,---,---,---,---,---,98038.5,---
2023-04-03T04:54:03-04:00,---,---,---,---,---,---,---,---,---,61.2
2023-04-03T05:29:21-04:00,382.7,---,---,214.6,---,0.6,0,0.3,97970.1,---
2023-04-03T06:03:28-04:00,---,---,---,---,---,---,---,---,97986.9,---
2023-04-03T06:36:56-04:00,388.1,---,---,219.94,---,---,---,---,98023.7,---
2023-04-03T07:11:17-04:00,394.2,---,25.92,220.29,---,0.1,0,0.1,97974.3,64
2023-04-03T07:56:41-04:00,620.4,---,26.65,255.45,---,0,0,0,97953.1,67.3
2023-04-03T08:37:35-04:00,687.1,---,---,---,---,---,---,---,---,---
2023-04-03T09:16:32-04:00,809.6,---,26.75,268.09,---,0.3,0,0.2,97835.8,68.6
2023-04-03T09:50:02-04:00,610,---,25.17,261.16,---,1,0,0.3,97817.6,68.5
2023-04-03T10:28:09-04:00,729.3,---,26.24,256.35,---,0.7,0.2,0.5,97762,68.3
2023-04-03T11:06:47-04:00,547.8,---,25.11,255.92,---,0.1,0,0.1,97737.7,68.9
2023-04-03T11:48:39-04:00,530.2,---,25.47,260.12,---,0.2,0,0.2,97738.9,69.2
2023-04-03T12:23:16-04:00,---,---,---,---,---,---,---,---,97638.1,---
2023-04-03T13:03:28-04:00,923.8,---,---,226.29,---,---,---,---,97585.4,---
2023-04-03T13:42:54-04:00,---,---,---,---,---,---,---,---,97533.8,---
2023-04-03T14:25:04-04:00,661,---,26.79,234.08,---,0.7,0.2,0.7,97440.3,72.3
2023-04-03T15:00:21-04:00,---,---,---,---,---,---,---,---,97448.3,---
2023-04-03T15:40:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-03T16:20:50-04:00,---,---,---,---,---,---,---,---,97429.7,---
2023-04-03T16:58:22-04:00,488.5,---,31.9,120.06,---,0.8,0.3,0.5,97477.9,69.5
2023-04-03T17:24:47-04:00,482.4,---,---,---,---,---,---,---,97540.3,---
2023-04-03T18:00:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-03T18:35:56-04:00,---,---,34.12,---,---,1,0.6,0.9,---,67.5
2023-04-03T19:11:53-04:00,464.4,---,35.53,-43.46,---,1.3,0.8,1.3,97822.5,66.6
2023-04-03T19:47:26-04:00,---,---,36.18,-76.79,---,1.8,0.9,1.5,---,66.1
2023-04-03T20:20:37-04:00,469.2,---,37.63,-87.13,---,2.9,1.3,2.5,97884.3,65.5
2023-04-03T20:58:28-04:00,462.6,---,---,---,---,---,---,---,97964.8,---
2023-04-03T21:40:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-03T22:15:42-04:00,---,---,---,---,---,---,---,---,98020.7,---
2023-04-03T22:49:51-04:00,---,---,---,---,---,3.5,1.6,2.8,---,---
2023-04-03T23:26:46-04:00,449.4,---,---,---,---,---,---,---,---,---
2023-04-04T00:05:22-04:00,---,---,41.41,---,---,3.3,1.7,3,---,---
2023-04-04T00:46:07-04:00,---,---,---,---,---,---,---,---,97983,---
2023-04-04T01:20:44-04:00,444.2,---,41.93,100.49,---,2.9,1.4,2,97962.6,63.7
2023-04-04T01:56:28-04:00,---,---,---,---,---,---,---,---,---,63.7
2023-04-04T02:38:18-04:00,442.6,---,43.04,100.63,---,2.7,1.1,2.3,97962.2,63.4
2023-04-04T03:11:55-04:00,---,---,---,---,---,---,---,---,98002,---
2023-04-04T03:50:31-04:00,---,---,43.54,---,---,---,---,---,---,---
2023-04-04T04:21:12-04:00,438.8,---,---,---,---,---,---,---,---,---
2023-04-04T04:53:37-04:00,439.3,---,44.26,110.83,---,1.6,0.6,1.3,98002.8,63
2023-04-04T05:31:33-04:00,436.5,---,44.94,119.87,---,2.3,1,2.3,98010.1,62.9
2023-04-04T06:06:55-04:00,438.9,---,44.74,113.56,---,2.1,1.3,1.9,98021.5,62.8
2023-04-04T06:40:26-04:00,438.2,---,45.2,118.68,---,1.4,0.9,1.4,---,62.8
2023-04-04T07:16:02-04:00,444.2,---,40.58,111.64,---,0.3,0.1,0.2,98024.4,65.8
2023-04-04T07:52:42-04:00,642.3,---,39.85,103.69,---,0,0,0,98055,68
2023-04-04T08:32:49-04:00,505.3,---,38.8,87.61,---,0.1,0.1,0.1,98098.2,68.1
2023-04-04T09:14:52-04:00,772.9,---,41.65,72.41,---,1,0.2,0.9,---,68.8
2023-04-04T09:50:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-04T10:32:13-04:00,836.4,---,39.39,75.83,---,7.8,5.3,7.1,98125.4,71.9
2023-04-04T11:13:54-04:00,585.9,---,38.47,80.18,---,0.8,0.5,0.6,98124.1,71.4
2023-04-04T11:51:51-04:00,---,---,37.89,88.52,---,2.3,0.8,1.6,---,72.3
2023-04-04T12:32:06-04:00,---,---,---,---,---,---,---,---,---,72.2
2023-04-04T13:14:05-04:00,626.3,---,---,67.54,---,---,---,---,---,---
2023-04-04T14:02:57-04:00,682.9,---,---,---,---,---,---,---,98096.5,---
2023-04-04T14:46:02-04:00,---,---,---,68.35,---,---,---,---,---,---
2023-04-04T16:21:07-04:00,518.7,---,42.6,85.62,---,1,0.1,0.7,---,70.6
2023-04-04T17:04:28-04:00,507.1,---,---,---,---,---,---,---,98278.2,---
2023-04-04T17:40:24-04:00,499.7,---,---,---,---,---,---,---,98341.9,---
2023-04-04T18:18:58-04:00,491.7,---,46.61,142.39,---,2,0.9,1.7,---,68.2
2023-04-04T18:51:57-04:00,485.1,---,47.06,133.55,---,1.7,0.8,1.4,98388.2,68.1
2023-04-04T19:27:51-04:00,---,---,---,---,---,---,---,---,98407.9,---
2023-04-04T20:08:59-04:00,484.6,---,---,---,---,---,---,---,---,---
2023-04-04T20:50:15-04:00,---,---,50.08,135.83,---,2,0.8,1.7,---,65.8
2023-04-04T21:26:08-04:00,---,---,---,135.8,---,---,---,---,---,---
2023-04-04T22:01:09-04:00,463.8,---,49.33,127.24,---,2.9,1.7,2.6,---,65.3
2023-04-04T22:45:30-04:00,---,---,---,---,---,---,---,---,98590.6,---
2023-04-04T23:22:03-04:00,---,---,48.62,130.98,---,2.7,1.6,2.5,---,64.7
2023-04-04T23:57:16-04:00,455.8,---,48.25,117.97,---,3.5,2.5,3.4,98480.4,64.2
2023-04-05T00:35:52-04:00,451,---,49.09,124.93,---,3.4,1.9,3.1,98531.2,63.7
2023-04-05T01:14:51-04:00,---,---,---,---,---,---,---,---,---,63.5
2023-04-05T01:56:53-04:00,450.9,---,48.66,129.95,---,3.3,1.8,2.6,98500.2,63.1
2023-04-05T02:36:47-04:00,---,---,48.35,119.89,---,3.3,1.8,2.9,---,63
2023-04-05T03:14:07-04:00,---,---,48,118,---,2.7,1.9,2.5,---,62.6
2023-04-05T03:54:41-04:00,---,---,48.41,122.8,---,3.1,2,2.9,---,62.3
2023-04-05T04:28:27-04:00,---,---,---,---,---,---,---,---,98310.5,---
2023-04-05T05:00:30-04:00,---,---,---,---,---,---,---,---,---,62.3
2023-04-05T05:29:08-04:00,---,---,47.16,---,---,2.7,1.7,2.5,---,---
2023-04-05T06:07:23-04:00,446.2,---,47.67,118.82,---,3,1.2,2.3,98239.6,62.5
2023-04-05T06:43:02-04:00,---,---,---,---,---,3,1.5,2.5,---,---
2023-04-05T07:20:56-04:00,457.1,---,40.97,97.73,---,0.5,0.1,0.5,---,66.9
2023-04-05T07:55:54-04:00,---,---,---,---,---,---,---,---,98110.2,---
2023-04-05T08:36:04-04:00,---,---,---,---,---,---,---,---,---,68.6
2023-04-05T09:15:03-04:00,924.7,---,---,---,---,---,---,---,98106.5,---
2023-04-05T09:53:14-04:00,884,---,43.01,76.13,---,1.5,0.7,1.1,97997.2,70.2
2023-04-05T10:26:49-04:00,---,---,42.75,82.96,---,2.9,1.3,2.1,---,---
2023-04-05T11:07:31-04:00,566.3,---,---,90.14,---,2.3,1.5,2,97934.1,---
2023-04-05T11:42:54-04:00,---,---,---,---,---,---,---,---,97893.1,---
2023-04-05T12:20:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-05T12:56:31-04:00,885.3,---,---,113.68,---,---,---,---,97781,---
2023-04-05T13:33:58-04:00,---,---,---,---,---,---,---,---,---,74.7
2023-04-05T14:10:47-04:00,727.5,---,---,---,---,---,---,---,97666.5,---
2023-04-05T14:49:44-04:00,---,---,---,---,---,---,---,---,97660.6,---
2023-04-05T15:23:39-04:00,---,---,49.32,---,---,5.9,4.3,5.5,---,72.4
2023-04-05T16:08:49-04:00,516.9,---,46.75,128.82,---,11,8.1,10,97493.2,74.3
2023-04-05T16:40:18-04:00,---,---,---,---,---,---,---,---,---,72.5
2023-04-05T17:16:06-04:00,---,---,47.15,136.48,---,10,7.1,9.6,---,74.5
2023-04-05T17:53:45-04:00,493.9,---,---,---,---,---,---,---,97981.3,---
2023-04-05T18:27:26-04:00,---,---,52.08,---,---,9.3,6.6,8.8,---,---
2023-04-05T18:59:56-04:00,---,---,---,---,---,---,---,---,98068.1,---
2023-04-05T19:37:58-04:00,---,---,55.32,133.15,---,9.5,6.5,9.2,---,70.8
2023-04-05T20:14:21-04:00,479.6,---,57.43,140.28,---,8.4,5.3,7.9,98025.3,70.5
2023-04-05T20:50:10-04:00,---,---,---,138.79,---,---,---,---,---,---
2023-04-05T21:26:25-04:00,---,---,---,146.82,---,---,---,---,---,---
2023-04-05T22:02:58-04:00,---,---,---,---,---,---,---,---,---,70
2023-04-05T22:32:01-04:00,---,---,---,---,---,---,---,---,98098.5,---
2023-04-05T23:12:51-04:00,484.7,---,55.65,128.43,---,4.7,3.3,4.7,98021.3,70
2023-04-05T23:50:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-06T00:27:22-04:00,483.5,---,56.29,138.08,---,4.6,2.9,4.4,98139.5,69.8
2023-04-06T01:10:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-06T01:50:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-06T02:23:25-04:00,---,---,---,---,---,---,---,---,98021.7,---
2023-04-06T03:05:05-04:00,---,---,---,137.26,---,---,---,---,---,---
2023-04-06T03:38:07-04:00,---,---,---,---,---,---,---,---,98088.7,---
2023-04-06T04:19:59-04:00,481.3,---,56.38,133.56,---,5.6,3.3,5,98117.9,69.5
2023-04-06T04:54:28-04:00,480.4,---,56.65,134.4,---,5.6,3.3,5.1,98145.8,69.2
2023-04-06T05:34:09-04:00,478.6,---,56.41,132.58,---,4.8,3.3,4.4,98154.2,69.3
2023-04-06T06:09:28-04:00,---,---,---,---,---,---,---,---,98170.8,---
2023-04-06T06:38:32-04:00,---,---,---,---,---,---,---,---,---,69.1
2023-04-06T07:20:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-04-06T07:55:00-04:00,639.6,---,---,---,---,---,---,---,---,---
