timestamp,co2[ppm],heartbeat[undefined],humidity[%],no2[ppb],particulate[undefined],pm10p0[ug/m^3],pm1p0[ug/m^3],pm2p5[ug/m^3],pressure[Pa],temperature[°F]
2023-03-29T10:10:28-04:00,883.7,---,30.52,183.69,---,1.3,0.5,1,98445,---
2023-03-29T10:19:14-04:00,778.4,---,30.08,181.28,---,0.8,0.5,0.8,98454.7,72
2023-03-29T10:28:26-04:00,729.4,---,29.76,161.41,---,0.9,0.4,0.9,98451,72.3
2023-03-29T10:36:08-04:00,707.3,---,---,---,---,---,---,---,98434,---
2023-03-29T10:44:17-04:00,697.8,---,---,---,---,---,---,---,98419.2,---
2023-03-29T10:51:19-04:00,681.7,---,29.46,148.68,---,1,0.4,1,98402.5,72.1
2023-03-29T10:59:33-04:00,678.8,---,---,---,---,---,---,---,---,---
2023-03-29T11:07:37-04:00,697.4,---,29.17,142.07,---,13.7,7.7,12.7,98376,72.5
2023-03-29T11:14:49-04:00,---,---,---,---,---,---,---,---,98381.2,---
2023-03-29T11:20:10-04:00,603.2,---,---,---,---,---,---,---,---,---
2023-03-29T11:27:03-04:00,---,---,28.38,---,---,10.9,6,9.1,---,---
2023-03-29T11:34:05-04:00,---,---,---,---,---,---,---,---,---,72
2023-03-29T11:40:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-29T11:44:16-04:00,523,---,---,156.34,---,6.1,3,5.1,98320.9,---
2023-03-29T11:51:22-04:00,512.1,---,27.64,159.44,---,4.9,2.7,3.8,98310.7,72.1
2023-03-29T11:58:28-04:00,504.3,---,27.86,171.58,---,3.4,2.4,3.3,98295.7,71.7
2023-03-29T12:06:03-04:00,---,---,---,---,---,---,---,---,---,71.7
2023-03-29T12:11:39-04:00,499.6,---,27.69,180.55,---,2.4,1.1,1.9,98270.1,72
2023-03-29T12:20:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-29T12:27:03-04:00,---,---,---,---,---,2.1,1.2,2,---,---
2023-03-29T12:31:57-04:00,---,---,27.76,190.78,---,1.6,0.9,1.6,---,72.1
2023-03-29T12:40:03-04:00,---,---,---,---,---,---,---,---,---,72
2023-03-29T12:45:48-04:00,542.4,---,27.58,194.67,---,1,0.4,1,98211.9,72.4
2023-03-29T12:52:59-04:00,---,---,---,---,---,---,---,---,98197.3,---
2023-03-29T13:00:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-29T13:04:11-04:00,525.6,---,---,---,---,---,---,---,98175.6,---
2023-03-29T13:12:45-04:00,---,---,27.01,---,---,---,---,---,---,---
2023-03-29T13:19:25-04:00,---,---,27.06,---,---,---,---,---,---,---
2023-03-29T13:23:27-04:00,---,---,26.91,212.56,---,1.3,0.4,0.8,---,72.5
2023-03-29T13:32:10-04:00,596.3,---,27.4,224.36,---,0.4,0.1,0.4,---,72.8
2023-03-29T13:40:22-04:00,626.2,---,---,234.24,---,1.4,0.7,1.1,98098,---
2023-03-29T13:47:09-04:00,---,---,27.89,224.64,---,1,0.7,1,---,72.4
2023-03-29T13:54:11-04:00,---,---,27.79,---,---,---,---,---,---,72.7
2023-03-29T14:00:33-04:00,---,---,---,---,---,---,---,---,98057.5,---
2023-03-29T14:09:27-04:00,---,---,27.59,229.15,---,1.2,0.7,1.1,---,73.3
2023-03-29T14:15:53-04:00,---,---,---,---,---,---,---,---,98025.7,---
2023-03-29T14:21:45-04:00,---,---,---,---,---,---,---,---,98018.2,---
2023-03-29T14:26:48-04:00,695,---,---,---,---,---,---,---,98009.4,---
2023-03-29T14:31:51-04:00,---,---,27.25,---,---,1.9,0.5,1.7,---,73
2023-03-29T14:42:25-04:00,600.4,---,26.71,222.04,---,1.1,0.5,0.9,97956.7,73.3
2023-03-29T14:50:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-29T14:55:13-04:00,551.2,---,26.01,214.21,---,1.1,0.5,0.9,97927,73.8
2023-03-29T15:00:19-04:00,---,---,25.89,---,---,1.3,0.5,0.9,---,73.8
2023-03-29T15:07:29-04:00,524.7,---,---,226.65,---,1.2,0.6,1,97891,---
2023-03-29T15:15:34-04:00,---,---,25.99,---,---,---,---,---,---,73.5
2023-03-29T15:22:47-04:00,---,---,---,---,---,---,---,---,97847.8,---
2023-03-29T15:30:55-04:00,485.3,---,---,---,---,---,---,---,---,---
2023-03-29T15:38:56-04:00,---,---,26.09,---,---,---,---,---,---,73.6
2023-03-29T15:47:03-04:00,479.3,---,27.23,253.89,---,1.1,0.7,1.1,---,73.5
2023-03-29T15:55:10-04:00,---,---,---,---,---,---,---,---,---,73.4
2023-03-29T16:00:19-04:00,478.1,---,---,---,---,---,---,---,97796,---
2023-03-29T16:10:30-04:00,476.4,---,28.38,244.87,---,1.2,0.2,0.6,97774.7,73.3
2023-03-29T16:18:39-04:00,---,---,---,---,---,---,---,---,97761,---
2023-03-29T16:28:48-04:00,471.9,---,29.01,226.22,---,1.5,0.8,1.5,97737,73.2
2023-03-29T16:36:54-04:00,469.8,---,28.87,205.52,---,1.4,0.5,1,97725.6,73.7
2023-03-29T16:45:07-04:00,470,---,---,204.09,---,---,---,---,---,---
2023-03-29T16:53:21-04:00,461.6,---,30.81,193.26,---,1.7,0.7,1.5,97736.5,72.6
2023-03-29T17:01:27-04:00,456.8,---,31.09,177.14,---,2,1,1.8,---,72.1
2023-03-29T17:07:17-04:00,---,---,31.47,---,---,0.8,0.5,0.8,---,---
2023-03-29T17:14:20-04:00,---,---,---,---,---,---,---,---,---,71.4
2023-03-29T17:20:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-29T17:24:32-04:00,456.2,---,32.32,135.85,---,1.3,0.9,1.3,97732.5,70.7
2023-03-29T17:31:23-04:00,---,---,31.62,---,---,---,---,---,---,---
2023-03-29T17:38:22-04:00,443,---,31.75,99.65,---,2.3,1.1,1.8,97728.3,71.7
2023-03-29T17:42:27-04:00,---,---,32.25,90.47,---,2.2,1.4,2,---,---
2023-03-29T17:47:28-04:00,443.9,---,32.49,82.57,---,2.2,1.1,2.1,97753.2,70.9
2023-03-29T17:54:34-04:00,---,---,32.59,---,---,2.2,1.3,1.7,---,70.5
2023-03-29T18:01:42-04:00,---,---,33,---,---,---,---,---,---,70
2023-03-29T18:06:53-04:00,434.2,---,---,---,---,---,---,---,97773.3,---
2023-03-29T18:13:58-04:00,---,---,---,---,---,---,---,---,97807.9,---
2023-03-29T18:21:03-04:00,---,---,---,13.62,---,---,---,---,---,---
2023-03-29T18:29:16-04:00,---,---,---,---,---,---,---,---,97824.8,---
2023-03-29T18:35:30-04:00,423,---,---,---,---,---,---,---,97835.8,---
2023-03-29T18:42:24-04:00,---,---,34.09,-26.51,---,3,1.3,2.4,---,68.4
2023-03-29T18:47:28-04:00,---,---,---,---,---,---,---,---,---,68.2
2023-03-29T18:51:33-04:00,418.5,---,34.35,-37.88,---,2.6,1.3,2.3,97916.9,---
2023-03-29T18:57:52-04:00,414.3,---,---,-43.39,---,---,---,---,---,---
2023-03-29T19:01:43-04:00,---,---,34.59,-43.75,---,2.7,1.6,2.6,---,67.9
2023-03-29T19:07:47-04:00,---,---,34.74,---,---,3.2,1.8,2.9,---,67.7
2023-03-29T19:14:03-04:00,410.9,---,35.21,-65.81,---,2.9,1.7,2.5,98062.4,---
2023-03-29T19:22:59-04:00,408.1,---,35.47,-72.72,---,2.9,1.8,2.8,98096.9,67
2023-03-29T19:31:37-04:00,406.5,---,35.54,-75.01,---,3.3,1.7,2.7,---,66.8
2023-03-29T19:39:47-04:00,426,---,---,---,---,---,---,---,98131.5,---
2023-03-29T19:48:57-04:00,---,---,36.04,---,---,3,1.3,2.2,---,---
2023-03-29T19:55:58-04:00,416.7,---,---,-72.55,---,---,---,---,---,---
2023-03-29T20:03:02-04:00,---,---,39.05,---,---,3,1.3,2.5,---,66.2
2023-03-29T20:11:14-04:00,414,---,38.42,-68.38,---,2.5,1,1.5,98238,66.2
2023-03-29T20:19:17-04:00,410.9,---,37.51,-59.08,---,1.6,0.7,1.4,98271.3,66
2023-03-29T20:25:04-04:00,---,---,---,---,---,---,---,---,98293.7,---
2023-03-29T20:32:40-04:00,---,---,---,---,---,---,---,---,98318.5,---
2023-03-29T20:41:39-04:00,---,---,---,---,---,---,---,---,98339.1,---
2023-03-29T20:52:56-04:00,403.3,---,36.67,-16.36,---,1.3,1.1,1.3,---,66
2023-03-29T20:57:57-04:00,402,---,---,---,---,---,---,---,98388.2,---
2023-03-29T21:04:12-04:00,402,---,---,---,---,---,---,---,98398.1,---
2023-03-29T21:10:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-29T21:19:16-04:00,401.5,---,35.87,25.95,---,1.3,0.7,1,98445,65.5
2023-03-29T21:29:30-04:00,---,---,35.85,---,---,---,---,---,---,---
2023-03-29T21:33:38-04:00,---,---,---,38.23,---,---,---,---,---,---
2023-03-29T21:39:47-04:00,---,---,---,---,---,---,---,---,98477.6,---
2023-03-29T21:48:51-04:00,---,---,35.03,---,---,---,---,---,---,65.3
2023-03-29T21:53:56-04:00,396.7,---,---,---,---,---,---,---,98482.4,---
2023-03-29T21:57:58-04:00,394.7,---,---,---,---,---,---,---,98492.2,---
2023-03-29T22:06:34-04:00,391.1,---,34.14,67.19,---,1.2,0.7,1,---,65
2023-03-29T22:12:46-04:00,---,---,---,---,---,---,---,---,98510,---
2023-03-29T22:20:57-04:00,---,---,34.03,---,---,---,---,---,---,---
2023-03-29T22:26:40-04:00,---,---,---,---,---,---,---,---,98525.7,---
2023-03-29T22:34:47-04:00,389.9,---,---,73.13,---,1.9,0.8,1.4,98535.6,---
2023-03-29T22:41:23-04:00,391.6,---,---,---,---,---,---,---,98540.4,---
2023-03-29T22:50:00-04:00,---,---,---,---,---,---,---,---,---,---
2023-03-29T22:57:38-04:00,---,---,---,---,---,---,---,---,98554.7,---
